row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,270,270,0.9,0.15,no_target,1
1,90,270,0.9,0.15,left,1
2,270,270,0.9,0.15,no_target,1
3,90,270,0.4,0.4,left,1
4,270,90,0.4,0.25,right,1
5,90,270,0.9,0.15,left,1
6,90,270,0.4,0.4,left,1
7,90,270,0.4,0.25,left,1
8,270,90,0.4,0.4,right,1
9,90,270,0.25,0.4,left,1
10,90,270,0.25,0.25,left,1
11,270,90,0.9,0.15,right,1
12,270,90,0.9,0.15,right,1
13,270,90,0.25,0.25,right,1
14,270,90,0.9,0.15,right,1
15,270,270,0.4,0.25,no_target,1
16,270,90,0.25,0.25,right,1
17,90,270,0.25,0.25,left,1
18,270,270,0.25,0.4,no_target,1
19,270,270,0.4,0.25,no_target,1
20,90,270,0.9,0.15,left,1
21,90,270,0.25,0.4,left,1
22,270,270,0.25,0.25,no_target,1
23,270,90,0.25,0.25,right,1
24,270,270,0.9,0.15,no_target,1
25,90,270,0.4,0.25,left,1
26,90,270,0.9,0.15,left,1
27,270,270,0.4,0.4,no_target,1
28,270,270,0.9,0.15,no_target,1
29,90,270,0.9,0.15,left,1
30,270,270,0.9,0.15,no_target,1
31,270,90,0.25,0.4,right,1
32,270,90,0.9,0.15,right,1
33,270,270,0.4,0.4,no_target,1
34,270,90,0.25,0.4,right,1
35,270,270,0.9,0.15,no_target,1
36,270,270,0.25,0.25,no_target,1
37,270,270,0.4,0.4,no_target,1
38,270,90,0.25,0.25,right,1
39,90,270,0.9,0.15,left,1
40,270,270,0.9,0.15,no_target,1
41,270,90,0.4,0.4,right,1
42,90,270,0.4,0.25,left,1
43,90,270,0.25,0.4,left,1
44,270,90,0.4,0.25,right,1
45,90,270,0.4,0.25,left,1
46,270,90,0.9,0.15,right,1
47,270,90,0.4,0.25,right,1
48,270,90,0.4,0.4,right,1
49,90,270,0.4,0.4,left,1
50,90,270,0.25,0.25,left,1
51,270,270,0.9,0.15,no_target,1
52,90,270,0.9,0.15,left,1
53,270,270,0.25,0.4,no_target,1
54,270,270,0.4,0.4,no_target,1
55,270,270,0.9,0.15,no_target,1
56,270,90,0.9,0.15,right,1
57,90,270,0.9,0.15,left,1
58,270,90,0.9,0.15,right,1
59,270,270,0.25,0.25,no_target,1
60,270,270,0.9,0.15,no_target,1
61,90,270,0.25,0.4,left,1
62,270,90,0.9,0.15,right,1
63,270,90,0.4,0.25,right,1
64,90,270,0.9,0.15,left,1
65,270,90,0.9,0.15,right,1
66,90,270,0.25,0.25,left,1
67,270,270,0.9,0.15,no_target,1
68,270,90,0.4,0.4,right,1
69,90,270,0.4,0.25,left,1
70,270,270,0.25,0.4,no_target,1
71,90,270,0.9,0.15,left,1
72,90,270,0.4,0.4,left,1
73,270,90,0.25,0.25,right,1
74,270,90,0.9,0.15,right,1
75,90,270,0.25,0.4,left,1
76,90,270,0.4,0.4,left,1
77,270,270,0.4,0.25,no_target,1
78,270,270,0.4,0.4,no_target,1
79,270,90,0.9,0.15,right,1
80,270,90,0.4,0.25,right,1
81,90,270,0.25,0.25,left,1
82,90,270,0.9,0.15,left,1
83,270,270,0.25,0.25,no_target,1
84,270,90,0.9,0.15,right,1
85,90,270,0.9,0.15,left,1
86,270,270,0.4,0.25,no_target,1
87,270,90,0.25,0.4,right,1
88,270,270,0.9,0.15,no_target,1
89,270,90,0.25,0.4,right,1
90,270,270,0.25,0.4,no_target,1
91,270,90,0.25,0.4,right,1
92,270,270,0.4,0.25,no_target,1
93,270,270,0.25,0.4,no_target,1
94,90,270,0.9,0.15,left,1
95,270,270,0.25,0.25,no_target,1
96,270,270,0.9,0.15,no_target,1
97,270,90,0.9,0.15,right,1
98,270,90,0.4,0.4,right,1
