row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,270,90,0.4,0.4,right,1
1,90,270,0.5,0.5,left,1
2,270,270,0.4,0.4,no_target,1
3,90,270,0.4,0.4,left,1
4,90,270,0.4,0.5,left,1
5,270,90,0.9,0.2,right,1
6,90,270,0.4,0.4,left,1
7,270,90,0.5,0.4,right,1
8,90,270,0.5,0.4,left,1
9,270,270,0.5,0.4,no_target,1
10,270,270,0.5,0.5,no_target,1
11,270,270,0.4,0.4,no_target,1
12,270,90,0.4,0.5,right,1
13,270,270,0.9,0.2,no_target,1
14,270,270,0.4,0.5,no_target,1
15,270,270,0.9,0.2,no_target,1
16,270,90,0.9,0.2,right,1
17,270,90,0.4,0.5,right,1
18,90,270,0.4,0.5,left,1
19,270,270,0.9,0.2,no_target,1
20,270,90,0.9,0.2,right,1
21,270,90,0.9,0.2,right,1
22,90,270,0.5,0.5,left,1
23,270,90,0.9,0.2,right,1
24,270,270,0.4,0.4,no_target,1
25,270,270,0.5,0.4,no_target,1
26,270,270,0.5,0.4,no_target,1
27,90,270,0.9,0.2,left,1
28,270,270,0.5,0.5,no_target,1
29,270,270,0.5,0.4,no_target,1
30,270,90,0.4,0.4,right,1
31,270,270,0.9,0.2,no_target,1
32,270,270,0.9,0.2,no_target,1
33,270,90,0.5,0.4,right,1
34,270,270,0.9,0.2,no_target,1
35,90,270,0.4,0.4,left,1
36,270,270,0.9,0.2,no_target,1
37,270,270,0.5,0.5,no_target,1
38,270,90,0.5,0.5,right,1
39,270,90,0.4,0.4,right,1
40,270,90,0.9,0.2,right,1
41,270,270,0.4,0.5,no_target,1
42,90,270,0.4,0.5,left,1
43,270,270,0.4,0.4,no_target,1
44,270,90,0.5,0.4,right,1
45,270,270,0.9,0.2,no_target,1
46,270,270,0.5,0.5,no_target,1
47,270,270,0.9,0.2,no_target,1
48,270,90,0.5,0.5,right,1
49,270,270,0.5,0.4,no_target,1
50,270,90,0.9,0.2,right,1
51,90,270,0.9,0.2,left,1
52,90,270,0.9,0.2,left,1
53,270,90,0.5,0.4,right,1
54,90,270,0.4,0.4,left,1
55,270,90,0.4,0.4,right,1
56,270,270,0.4,0.5,no_target,1
57,90,270,0.9,0.2,left,1
58,270,270,0.9,0.2,no_target,1
59,90,270,0.5,0.5,left,1
60,90,270,0.5,0.4,left,1
61,270,90,0.5,0.5,right,1
62,270,90,0.9,0.2,right,1
63,270,270,0.4,0.5,no_target,1
64,270,90,0.4,0.5,right,1
65,270,90,0.4,0.5,right,1
66,90,270,0.9,0.2,left,1
67,90,270,0.5,0.5,left,1
68,270,90,0.5,0.5,right,1
69,90,270,0.4,0.5,left,1
70,90,270,0.9,0.2,left,1
71,90,270,0.4,0.4,left,1
72,270,90,0.9,0.2,right,1
73,90,270,0.5,0.4,left,1
74,270,90,0.9,0.2,right,1
75,90,270,0.5,0.4,left,1
76,270,270,0.9,0.2,no_target,1
77,270,90,0.4,0.5,right,1
78,90,270,0.9,0.2,left,1
79,90,270,0.9,0.2,left,1
80,270,90,0.5,0.4,right,1
81,270,90,0.4,0.4,right,1
82,270,270,0.9,0.2,no_target,1
83,270,90,0.9,0.2,right,1
84,270,270,0.4,0.4,no_target,1
85,90,270,0.9,0.2,left,1
86,90,270,0.9,0.2,left,1
87,270,270,0.4,0.5,no_target,1
88,270,270,0.9,0.2,no_target,1
89,90,270,0.9,0.2,left,1
90,90,270,0.5,0.4,left,1
91,90,270,0.9,0.2,left,1
92,270,90,0.5,0.5,right,1
93,90,270,0.4,0.5,left,1
94,90,270,0.5,0.5,left,1
95,90,270,0.9,0.2,left,1
96,270,90,0.9,0.2,right,1
97,270,270,0.5,0.5,no_target,1
98,270,90,0.9,0.2,right,1
