row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,90,270,0.2,0.9,left,0
1,270,90,0.2,0.9,right,0
2,270,90,0.2,0.9,right,0
3,90,270,0.4,0.5,left,0
4,270,90,0.2,0.9,right,0
5,270,270,0.5,0.4,no_target,0
6,270,90,0.2,0.9,right,0
7,270,90,0.5,0.4,right,0
8,90,270,0.5,0.5,left,0
9,270,270,0.4,0.4,no_target,0
10,270,270,0.2,0.9,no_target,0
11,90,270,0.4,0.4,left,0
12,90,270,0.2,0.9,left,0
13,90,270,0.4,0.5,left,0
14,270,90,0.2,0.9,right,0
15,270,90,0.5,0.5,right,0
16,90,270,0.5,0.4,left,0
17,270,270,0.5,0.4,no_target,0
18,90,270,0.4,0.4,left,0
19,270,90,0.2,0.9,right,0
20,270,90,0.4,0.5,right,0
21,270,270,0.2,0.9,no_target,0
22,90,270,0.2,0.9,left,0
23,90,270,0.2,0.9,left,0
24,270,90,0.4,0.4,right,0
25,270,270,0.4,0.4,no_target,0
26,270,270,0.2,0.9,no_target,0
27,90,270,0.4,0.4,left,0
28,90,270,0.5,0.4,left,0
29,90,270,0.5,0.4,left,0
30,270,270,0.2,0.9,no_target,0
31,90,270,0.4,0.5,left,0
32,90,270,0.5,0.5,left,0
33,90,270,0.2,0.9,left,0
34,270,270,0.4,0.5,no_target,0
35,270,270,0.5,0.5,no_target,0
36,270,270,0.5,0.5,no_target,0
37,270,270,0.5,0.5,no_target,0
38,90,270,0.5,0.5,left,0
39,270,270,0.2,0.9,no_target,0
40,90,270,0.2,0.9,left,0
41,270,270,0.2,0.9,no_target,0
42,270,270,0.4,0.4,no_target,0
43,270,90,0.2,0.9,right,0
44,270,90,0.2,0.9,right,0
45,270,90,0.4,0.4,right,0
46,90,270,0.2,0.9,left,0
47,270,90,0.2,0.9,right,0
48,90,270,0.5,0.5,left,0
49,270,90,0.4,0.5,right,0
50,90,270,0.5,0.4,left,0
51,270,90,0.5,0.4,right,0
52,270,90,0.4,0.4,right,0
53,270,90,0.5,0.5,right,0
54,270,90,0.5,0.5,right,0
55,90,270,0.4,0.5,left,0
56,270,270,0.2,0.9,no_target,0
57,270,270,0.4,0.4,no_target,0
58,270,270,0.5,0.4,no_target,0
59,270,270,0.2,0.9,no_target,0
60,270,270,0.2,0.9,no_target,0
61,270,90,0.5,0.4,right,0
62,270,90,0.5,0.5,right,0
63,270,90,0.5,0.4,right,0
64,270,90,0.4,0.5,right,0
65,270,90,0.4,0.5,right,0
66,90,270,0.2,0.9,left,0
67,270,270,0.2,0.9,no_target,0
68,270,90,0.4,0.4,right,0
69,270,270,0.4,0.5,no_target,0
70,270,270,0.5,0.5,no_target,0
71,270,270,0.5,0.5,no_target,0
72,270,90,0.5,0.5,right,0
73,90,270,0.4,0.4,left,0
74,90,270,0.2,0.9,left,0
75,90,270,0.2,0.9,left,0
76,270,270,0.5,0.4,no_target,0
77,90,270,0.5,0.5,left,0
78,270,90,0.2,0.9,right,0
79,270,270,0.4,0.5,no_target,0
80,270,90,0.4,0.5,right,0
81,270,90,0.2,0.9,right,0
82,90,270,0.4,0.4,left,0
83,270,270,0.2,0.9,no_target,0
84,90,270,0.2,0.9,left,0
85,270,90,0.4,0.4,right,0
86,270,90,0.2,0.9,right,0
87,270,270,0.2,0.9,no_target,0
88,270,270,0.5,0.4,no_target,0
89,90,270,0.2,0.9,left,0
90,90,270,0.4,0.5,left,0
91,270,270,0.2,0.9,no_target,0
92,90,270,0.5,0.4,left,0
93,270,270,0.4,0.4,no_target,0
94,90,270,0.2,0.9,left,0
95,270,90,0.2,0.9,right,0
96,270,90,0.5,0.4,right,0
97,270,270,0.4,0.5,no_target,0
98,270,270,0.4,0.5,no_target,0
