row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,270,90,0.4,0.4,right,0
1,90,270,0.4,0.5,left,0
2,90,270,0.5,0.5,left,0
3,270,90,0.4,0.5,right,0
4,90,270,0.4,0.4,left,0
5,270,270,0.2,0.9,no_target,0
6,270,90,0.4,0.4,right,0
7,270,90,0.5,0.4,right,0
8,90,270,0.2,0.9,left,0
9,90,270,0.2,0.9,left,0
10,270,270,0.2,0.9,no_target,0
11,90,270,0.5,0.5,left,0
12,90,270,0.2,0.9,left,0
13,270,270,0.5,0.5,no_target,0
14,270,270,0.2,0.9,no_target,0
15,270,90,0.5,0.5,right,0
16,270,270,0.4,0.5,no_target,0
17,90,270,0.2,0.9,left,0
18,270,90,0.2,0.9,right,0
19,270,270,0.5,0.4,no_target,0
20,270,90,0.5,0.4,right,0
21,90,270,0.5,0.4,left,0
22,270,270,0.5,0.5,no_target,0
23,270,90,0.4,0.4,right,0
24,270,270,0.4,0.5,no_target,0
25,270,270,0.2,0.9,no_target,0
26,270,90,0.2,0.9,right,0
27,270,90,0.5,0.5,right,0
28,90,270,0.2,0.9,left,0
29,270,270,0.5,0.4,no_target,0
30,270,90,0.2,0.9,right,0
31,270,90,0.2,0.9,right,0
32,270,90,0.2,0.9,right,0
33,270,270,0.2,0.9,no_target,0
34,270,270,0.5,0.4,no_target,0
35,90,270,0.2,0.9,left,0
36,270,90,0.2,0.9,right,0
37,270,90,0.4,0.5,right,0
38,270,270,0.4,0.4,no_target,0
39,270,270,0.4,0.5,no_target,0
40,90,270,0.2,0.9,left,0
41,90,270,0.4,0.4,left,0
42,270,270,0.2,0.9,no_target,0
43,270,90,0.2,0.9,right,0
44,90,270,0.2,0.9,left,0
45,270,90,0.2,0.9,right,0
46,270,270,0.5,0.4,no_target,0
47,270,90,0.5,0.5,right,0
48,270,270,0.2,0.9,no_target,0
49,270,270,0.2,0.9,no_target,0
50,90,270,0.2,0.9,left,0
51,270,270,0.4,0.4,no_target,0
52,270,90,0.4,0.4,right,0
53,270,270,0.5,0.5,no_target,0
54,270,270,0.5,0.5,no_target,0
55,90,270,0.4,0.5,left,0
56,270,270,0.5,0.5,no_target,0
57,90,270,0.4,0.4,left,0
58,270,270,0.4,0.5,no_target,0
59,270,90,0.5,0.5,right,0
60,270,90,0.5,0.4,right,0
61,270,270,0.2,0.9,no_target,0
62,270,90,0.2,0.9,right,0
63,270,270,0.4,0.4,no_target,0
64,270,270,0.4,0.5,no_target,0
65,270,90,0.4,0.5,right,0
66,90,270,0.5,0.4,left,0
67,270,90,0.4,0.5,right,0
68,90,270,0.4,0.4,left,0
69,270,270,0.4,0.4,no_target,0
70,90,270,0.4,0.5,left,0
71,270,90,0.5,0.5,right,0
72,90,270,0.2,0.9,left,0
73,90,270,0.4,0.4,left,0
74,90,270,0.5,0.5,left,0
75,270,90,0.2,0.9,right,0
76,270,90,0.4,0.4,right,0
77,90,270,0.5,0.4,left,0
78,270,90,0.2,0.9,right,0
79,270,270,0.2,0.9,no_target,0
80,270,90,0.2,0.9,right,0
81,90,270,0.5,0.4,left,0
82,90,270,0.2,0.9,left,0
83,270,270,0.2,0.9,no_target,0
84,90,270,0.5,0.4,left,0
85,270,270,0.2,0.9,no_target,0
86,270,90,0.5,0.4,right,0
87,270,90,0.5,0.4,right,0
88,270,90,0.2,0.9,right,0
89,90,270,0.2,0.9,left,0
90,270,270,0.5,0.4,no_target,0
91,90,270,0.2,0.9,left,0
92,90,270,0.5,0.5,left,0
93,90,270,0.5,0.5,left,0
94,270,270,0.2,0.9,no_target,0
95,270,270,0.4,0.4,no_target,0
96,90,270,0.4,0.5,left,0
97,90,270,0.4,0.5,left,0
98,270,90,0.4,0.5,right,0
