row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,270,90,0.2,0.9,right,0
1,270,90,0.4,0.4,right,0
2,270,90,0.2,0.9,right,0
3,270,270,0.5,0.5,no_target,0
4,90,270,0.2,0.9,left,0
5,270,90,0.5,0.4,right,0
6,90,270,0.4,0.4,left,0
7,90,270,0.2,0.9,left,0
8,270,90,0.4,0.4,right,0
9,90,270,0.5,0.4,left,0
10,270,90,0.2,0.9,right,0
11,270,90,0.4,0.5,right,0
12,270,90,0.5,0.5,right,0
13,90,270,0.2,0.9,left,0
14,270,90,0.5,0.4,right,0
15,270,270,0.5,0.5,no_target,0
16,90,270,0.4,0.5,left,0
17,270,270,0.2,0.9,no_target,0
18,270,90,0.5,0.5,right,0
19,270,270,0.4,0.5,no_target,0
20,90,270,0.4,0.4,left,0
21,90,270,0.4,0.4,left,0
22,270,90,0.2,0.9,right,0
23,90,270,0.5,0.5,left,0
24,270,270,0.5,0.4,no_target,0
25,270,90,0.4,0.5,right,0
26,90,270,0.2,0.9,left,0
27,270,90,0.5,0.5,right,0
28,270,90,0.4,0.5,right,0
29,90,270,0.5,0.5,left,0
30,270,270,0.4,0.4,no_target,0
31,90,270,0.2,0.9,left,0
32,270,270,0.4,0.4,no_target,0
33,270,90,0.4,0.4,right,0
34,270,90,0.4,0.4,right,0
35,270,270,0.2,0.9,no_target,0
36,270,270,0.2,0.9,no_target,0
37,90,270,0.5,0.5,left,0
38,270,90,0.2,0.9,right,0
39,270,270,0.4,0.4,no_target,0
40,270,270,0.2,0.9,no_target,0
41,270,270,0.2,0.9,no_target,0
42,270,90,0.4,0.5,right,0
43,270,270,0.2,0.9,no_target,0
44,90,270,0.2,0.9,left,0
45,90,270,0.4,0.5,left,0
46,270,270,0.5,0.4,no_target,0
47,270,270,0.2,0.9,no_target,0
48,90,270,0.5,0.4,left,0
49,270,90,0.2,0.9,right,0
50,270,90,0.5,0.4,right,0
51,270,270,0.5,0.5,no_target,0
52,270,90,0.2,0.9,right,0
53,90,270,0.4,0.5,left,0
54,270,90,0.2,0.9,right,0
55,90,270,0.2,0.9,left,0
56,90,270,0.4,0.4,left,0
57,90,270,0.4,0.5,left,0
58,270,90,0.2,0.9,right,0
59,90,270,0.2,0.9,left,0
60,90,270,0.5,0.4,left,0
61,270,90,0.2,0.9,right,0
62,270,270,0.2,0.9,no_target,0
63,270,90,0.2,0.9,right,0
64,270,90,0.2,0.9,right,0
65,270,270,0.4,0.5,no_target,0
66,270,270,0.2,0.9,no_target,0
67,270,90,0.4,0.5,right,0
68,270,270,0.5,0.5,no_target,0
69,90,270,0.5,0.4,left,0
70,90,270,0.2,0.9,left,0
71,90,270,0.5,0.5,left,0
72,270,270,0.2,0.9,no_target,0
73,270,270,0.5,0.4,no_target,0
74,90,270,0.2,0.9,left,0
75,270,90,0.5,0.5,right,0
76,90,270,0.5,0.4,left,0
77,270,270,0.4,0.5,no_target,0
78,270,90,0.5,0.4,right,0
79,270,270,0.2,0.9,no_target,0
80,270,270,0.4,0.5,no_target,0
81,270,270,0.2,0.9,no_target,0
82,270,270,0.2,0.9,no_target,0
83,90,270,0.2,0.9,left,0
84,270,270,0.4,0.5,no_target,0
85,270,270,0.4,0.4,no_target,0
86,90,270,0.4,0.5,left,0
87,90,270,0.2,0.9,left,0
88,90,270,0.5,0.5,left,0
89,270,270,0.5,0.4,no_target,0
90,270,90,0.4,0.4,right,0
91,90,270,0.4,0.4,left,0
92,270,270,0.5,0.5,no_target,0
93,270,270,0.4,0.4,no_target,0
94,270,90,0.5,0.5,right,0
95,90,270,0.2,0.9,left,0
96,270,90,0.2,0.9,right,0
97,270,270,0.5,0.4,no_target,0
98,270,90,0.5,0.4,right,0
